3245 1903 2142 1926 	3207 2041 2319 1649 	3851 2092 2422 851 	
909 1236 5068 2003 	947 1427 5432 1410 	1034 1855 5348 979 	
3831 3304 1639 442 	926 4462 3201 627 	3492 4049 1103 572 	
1975 4171 2205 865 	1160 4341 2990 725 	6988 1455 567 206 	
1582 4780 2850 4 	1167 3901 3963 185 	1587 3182 2005 2442 	
324 997 7158 737 	507 2802 5801 106 	1645 7119 452 0 	
1485 5119 2003 609 	2003 4953 1889 371 	3361 3725 1662 468 	
2999 5229 918 70 	1886 3505 3760 65 	871 3058 5159 128 	
898 1713 2132 4473 	658 1741 2081 4736 	2650 2987 2446 1133 	
617 1949 5031 1619 	979 2803 4385 1049 	3006 4976 1205 29 	
702 5015 2963 536 	553 1574 6348 741 	845 6392 1499 480 	
798 635 5313 2470 	776 593 3225 4622 	1122 1141 4614 2339 	
7344 924 491 457 	6998 1243 527 448 	7997 597 419 203 	
4541 1846 862 1967 	4647 1856 767 1946 	5376 1386 563 1891 	
88 1092 7717 319 	89 1113 7680 334 	153 3369 5513 181 	
1522 5981 1530 183 	1507 4335 3149 225 	1753 5984 1419 60 	
127 6775 1463 851 	27 6940 1443 806 	5863 2532 508 313 	
298 5674 1961 1283 	755 6394 813 1254 	1849 4730 1386 1251 	
726 4980 3025 485 	242 4843 3651 480 	4759 3800 402 255 	
1288 1779 5111 1038 	1380 1964 4977 895 	1927 3080 3840 369 	
1936 4235 1900 1145 	2323 4718 1001 1174 	2539 4791 694 1192 	
3963 2956 1794 503 	4175 3352 1474 215 	6305 2256 613 42 	
197 1184 6215 1620 	403 1777 4516 2520 	811 2724 3210 2471 	
954 7287 732 243 	1189 7162 678 187 	1204 7071 747 194 	
717 1335 6697 467 	743 3999 4093 381 	794 6606 1479 337 	
4317 4440 362 97 	4250 4549 305 112 	7018 1792 278 128 	
122 1110 7687 297 	1717 7303 177 19 	1904 7115 179 18 	
3409 3939 1493 375 	922 5716 1986 592 	6484 1963 593 176 	
1384 4994 2388 450 	546 4687 3690 293 	880 4884 3312 140 	
820 2408 4994 994 	699 6795 1272 450 	1111 7349 715 41 	
589 6872 1385 370 	906 6906 1315 89 	5085 3940 184 7 	
5286 3338 521 71 	2591 4941 1425 259 	6497 2250 397 72 	
2791 6279 122 24 	97 7053 2023 43 	93 1004 8006 113 	
62 898 5339 2917 	42 690 5034 3450 	3066 3974 1958 218 	
354 3771 3218 1873 	681 4061 2524 1950 	3422 2575 1334 1885 	
694 6592 1874 56 	518 6487 2147 64 	2106 5572 1493 45 	
2662 5808 524 222 	2359 5906 736 215 	3717 4333 845 321 	
336 1691 4939 2250 	259 1454 4893 2610 	973 2194 4385 1664 	
398 1054 7351 413 	449 1382 7197 188 	769 5622 2741 84 	
